Id,Age,Gender,Education,Country,Ethnicity,Nscore,Escore,Oscore,Ascore,Cscore,Impulsive,Ss,Alcohol,Amphet,Amyl,Benzos,Caff,Cannabis,Choc,Coke,Crack,Ecstacy,Heroin,Ketamine,Legalh,Lsd,Meth,Mushrooms,Nicotine,Vsa
34,18-24,0,University degree,UK,White,0.4171708226605297,-0.3004573879283393,0.2955933114863293,1.289709304358478,-0.14277954966710424,-0.753225791296744,-1.6044905281465378,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
35,35-44,0,University degree,USA,Other,1.0227672663057819,0.640840686349351,0.8877591040782448,-2.90922297047537,-0.7829794752183343,0.5469007087892307,1.9970515199809755,5,2,1,1,4,2,4,2,1,1,1,2,1,1,1,1,4,1
36,65+,0,Left school before 16 years,UK,White,-0.24717003879613886,-0.8079909571211307,-2.641959120513487,-0.3023657544747939,-0.7829794752183343,0.5469007087892307,-1.6044905281465378,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,6,0
37,35-44,0,University degree,UK,White,-0.24717003879613886,-0.5765094134637486,-0.17753883227167516,-0.0171735355935936,-1.5214673977306608,-0.23554703870612545,-0.22125868776173244,6,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0
38,55-64,0,Left school before 16 years,USA,White,0.31318599031358146,0.32395078120035065,1.0677957406518224,0.13187481843618676,-0.653672680399117,0.5469007087892307,-0.5431683478463336,6,1,2,1,6,3,5,1,0,0,0,0,0,1,0,1,6,0
39,45-54,0,University degree,UK,White,-1.553782533803857,1.2913469696979305,0.2955933114863293,-0.0171735355935936,0.7602934127244029,-0.23554703870612545,-0.8757259965584026,6,1,0,0,5,1,4,0,0,0,0,0,0,0,0,1,1,0
40,65+,1,Professional certificate/ diploma,UK,White,-0.24717003879613886,-0.9501107917272493,-1.1226884972956506,-0.7628364312634675,0.41717239060141975,-1.4536436559090193,-0.22125868776173244,6,0,0,0,6,1,6,0,0,0,0,0,1,0,5,0,1,0
41,35-44,0,Masters degree,UK,White,0.04240467833496769,-0.4405905148775806,-0.018368732080488795,-2.0838871369568155,0.7602934127244029,-0.753225791296744,0.08554037637589663,4,1,0,2,6,0,6,0,0,0,0,0,0,0,0,0,1,0
42,35-44,1,University degree,UK,White,0.82684902293302,0.0042212888448033845,1.0677957406518224,1.823696464951144,-0.40640425366064753,-0.23554703870612545,-0.22125868776173244,5,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,1,0
43,35-44,0,Masters degree,UK,White,-0.14932612188547958,-0.9501107917272493,-1.2798502686723625,-0.0171735355935936,-0.653672680399117,-0.23554703870612545,-0.5431683478463336,6,0,3,4,6,2,5,6,0,5,0,2,2,0,0,0,1,0
44,35-44,0,Professional certificate/ diploma,UK,White,-0.9229211819525353,-0.5765094134637486,-0.31809172435268174,-0.1551222241063227,-1.0164472930228352,-0.23554703870612545,-0.22125868776173244,6,2,2,0,6,3,6,3,0,2,0,0,0,2,0,0,6,0
45,25-34,0,University degree,UK,Other,-1.0551963000940674,1.4600264768684657,0.44869825865780233,1.289709304358478,0.9418861747248215,-0.23554703870612545,0.08554037637589663,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,2,0
46,25-34,1,University degree,UK,White,-0.4683231369552169,0.4786731653874694,1.246486796919702,0.9442460019876703,1.6348130455205026,-1.4536436559090193,-2.1544290441012417,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
47,45-54,1,"Some college or university, no certificate or degree",Canada,White,0.31318599031358146,0.640840686349351,-1.1226884972956506,0.2887641285945435,1.4654674470039688,-0.753225791296744,-0.8757259965584026,3,0,0,0,6,1,5,0,0,0,0,0,0,1,0,0,2,1
48,45-54,0,Masters degree,UK,White,-2.054372328830543,0.8088479237572055,0.2955933114863293,0.9442460019876703,1.1368987009682203,-2.6850452477302422,-1.2228441989199232,4,0,0,0,6,1,5,0,0,0,0,0,0,0,0,0,0,0
49,45-54,0,Left school at 16 years,UK,White,0.1360611520933125,-0.8079909571211307,-0.31809172435268174,-0.1551222241063227,-0.653672680399117,0.1937741107892311,-0.8757259965584026,6,1,1,0,6,4,6,1,0,0,0,0,0,0,0,1,6,0
50,25-34,1,Masters degree,UK,Mixed-White/Black,0.82684902293302,-0.5765094134637486,-1.9821829383822833,-0.9192845623046153,0.26041471134491845,0.5469007087892307,1.2736628734893594,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,4,0
51,35-44,0,Masters degree,UK,White,1.0227672663057819,-0.154504612287235,-0.17753883227167516,-1.215215481970605,-0.006356972463632867,-0.753225791296744,-0.8757259965584026,6,1,2,1,6,3,6,2,0,3,0,0,2,1,0,3,6,0
52,45-54,0,Professional certificate/ diploma,Canada,White,1.134586023401797,0.9666306404460798,-0.5847475826945501,-0.9192845623046153,-1.9256939482998359,1.9426449280417288,1.9970515199809755,2,1,1,1,6,2,6,1,0,0,0,0,0,1,0,1,2,0
53,55-64,1,University degree,UK,White,-0.14932612188547958,0.0042212888448033845,-1.4291795576726232,0.2887641285945435,-0.7829794752183343,0.5469007087892307,-1.6044905281465378,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,1,0
54,45-54,0,Masters degree,UK,White,-1.4418736164485815,-0.154504612287235,1.0677957406518224,0.2887641285945435,0.26041471134491845,-0.23554703870612545,-0.22125868776173244,4,1,1,0,6,1,4,1,0,1,0,0,0,1,0,1,1,0
55,55-64,0,Left school at 16 years,UK,White,0.04240467833496769,1.1187241488448052,-0.5847475826945501,-1.0780488837111097,-1.1401015508494903,1.3456810983554328,1.2736628734893594,6,0,0,0,6,2,6,6,0,3,0,0,3,1,0,1,1,0
56,55-64,1,Professional certificate/ diploma,UK,White,0.04240467833496769,-0.6965547185490073,-1.1226884972956506,-0.45426171917019537,-0.40640425366064753,-1.4536436559090193,-2.1544290441012417,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
57,35-44,1,"Some college or university, no certificate or degree",UK,White,0.04240467833496769,0.0042212888448033845,-1.6866272284001254,-0.0171735355935936,0.26041471134491845,-1.4536436559090193,-1.6044905281465378,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
58,25-34,1,University degree,UK,White,-0.5814341911006304,0.640840686349351,-1.9821829383822833,0.2887641285945435,0.7602934127244029,-0.753225791296744,-0.5431683478463336,1,0,0,0,6,0,3,0,0,0,0,0,0,0,0,0,0,0
59,45-54,0,Left school at 18 years,UK,White,0.22408761855117706,0.640840686349351,-0.018368732080488795,-0.45426171917019537,-0.40640425366064753,1.9426449280417288,1.2736628734893594,4,1,1,0,6,4,4,4,2,3,1,3,3,1,0,2,6,1
60,45-54,0,University degree,UK,White,-0.4683231369552169,-1.2350528323333323,-1.2798502686723625,-1.6250809086557938,-0.14277954966710424,-1.4536436559090193,-1.6044905281465378,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
61,25-34,1,Doctorate degree,UK,White,1.3751736663347747,0.32395078120035065,0.2955933114863293,-0.3023657544747939,-0.27637585837429446,-1.4536436559090193,0.08554037637589663,4,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,1,0
62,45-54,0,Masters degree,UK,Asian,-2.2226314082235437,1.5911291144682642,1.246486796919702,0.13187481843618676,1.3093311459275008,-1.4536436559090193,-1.2228441989199232,4,1,0,0,5,1,4,0,0,0,0,0,0,0,0,1,0,1
63,25-34,0,University degree,UK,White,-0.5814341911006304,-1.380162762301822,-1.8358159343833729,-1.346325894166596,0.41717239060141975,-1.4536436559090193,-1.2228441989199232,4,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,5,0
64,45-54,0,University degree,UK,White,1.0227672663057819,-0.3004573879283393,-0.7192654466880604,-0.6077920519588935,-0.006356972463632867,-1.4536436559090193,-1.2228441989199232,4,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,0,0
65,45-54,0,Doctorate degree,UK,White,-1.553782533803857,0.4786731653874694,1.0677957406518224,-0.45426171917019537,0.9418861747248215,-1.4536436559090193,-0.5431683478463336,6,1,0,1,6,6,4,5,0,0,0,0,0,1,0,1,1,0
66,35-44,0,"Some college or university, no certificate or degree",UK,White,0.736518460960724,0.4786731653874694,-0.8498570278492728,1.1172082695297971,0.586497944660533,0.5469007087892307,-0.22125868776173244,4,0,0,3,6,0,6,0,0,0,0,0,0,0,0,0,0,0
67,45-54,0,Left school at 16 years,UK,White,-1.0551963000940674,-0.6965547185490073,-1.1226884972956506,1.289709304358478,0.41717239060141975,-0.753225791296744,-1.2228441989199232,5,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
68,25-34,0,Masters degree,UK,White,-0.34885077562865574,-0.3004573879283393,1.0677957406518224,-0.9192845623046153,-0.14277954966710424,0.915018975040276,-0.22125868776173244,4,1,1,0,6,2,4,1,0,0,0,0,0,1,0,1,4,0
69,35-44,0,Professional certificate/ diploma,Other,White,-0.9229211819525353,0.0042212888448033845,0.2955933114863293,-0.1551222241063227,-0.27637585837429446,-0.23554703870612545,0.08554037637589663,4,1,1,0,4,2,6,3,0,2,0,1,1,1,0,1,1,0
70,45-54,1,Left school at 16 years,UK,White,-0.052213504855487626,-0.6965547185490073,-1.6866272284001254,0.2887641285945435,-0.006356972463632867,-1.4536436559090193,-0.8757259965584026,6,0,0,6,1,0,6,0,0,0,0,0,0,0,0,0,1,0
71,25-34,0,"Some college or university, no certificate or degree",UK,White,-0.34885077562865574,-0.3004573879283393,0.14301052980661966,-1.9309483852571023,-0.27637585837429446,0.5469007087892307,0.7969941428269786,6,2,1,0,5,2,6,3,0,3,0,2,2,2,0,0,2,1
72,45-54,1,Left school at 18 years,Canada,White,-0.4683231369552169,1.1187241488448052,-0.31809172435268174,1.1172082695297971,0.12389191185434495,-2.6850452477302422,-0.8757259965584026,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0
73,45-54,0,Left school at 18 years,UK,White,-1.553782533803857,0.9666306404460798,-0.018368732080488795,0.43985794944047424,0.9418861747248215,0.1937741107892311,0.4193122694051331,6,1,1,0,6,1,4,0,0,0,0,0,0,0,0,0,2,0
74,45-54,0,Professional certificate/ diploma,UK,White,-0.6796988558878381,-0.5765094134637486,-0.31809172435268174,0.2887641285945435,1.1368987009682203,-0.753225791296744,-0.22125868776173244,6,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0
75,65+,1,Left school at 16 years,UK,White,-1.1966677646801562,-1.76758078926997,-2.870416564804048,-1.4833521172524338,0.26041471134491845,0.5469007087892307,-2.1544290441012417,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0
76,25-34,0,University degree,UK,White,-0.14932612188547958,0.16912805824268257,-1.560694970088494,-0.7628364312634675,-0.40640425366064753,0.5469007087892307,-0.22125868776173244,4,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0
77,45-54,1,Left school at 17 years,Canada,White,-0.34885077562865574,-0.6965547185490073,-1.560694970088494,0.43985794944047424,0.586497944660533,-2.6850452477302422,-2.1544290441012417,5,0,0,0,6,0,4,0,0,0,0,0,0,0,0,0,6,0
78,35-44,0,University degree,UK,White,0.1360611520933125,-1.6380434364907415,-0.5847475826945501,-1.215215481970605,-0.40640425366064753,-0.23554703870612545,-2.1544290441012417,3,1,0,0,6,2,4,1,0,1,0,0,0,1,0,0,6,0
79,35-44,0,"Some college or university, no certificate or degree",UK,White,-0.7931605332637086,-0.8079909571211307,-2.0978626780960217,-1.6250809086557938,-2.1856304721280195,-2.6850452477302422,-1.2228441989199232,6,0,1,0,6,1,4,1,0,1,0,0,0,0,0,0,3,1
80,35-44,0,Professional certificate/ diploma,UK,White,-0.34885077562865574,-0.8079909571211307,-1.9821829383822833,1.1172082695297971,-0.653672680399117,-0.23554703870612545,-0.22125868776173244,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,1,0
81,65+,1,Doctorate degree,Canada,White,0.04240467833496769,0.32395078120035065,0.44869825865780233,-0.1551222241063227,1.4654674470039688,-0.23554703870612545,-0.22125868776173244,6,0,0,3,6,1,4,1,0,0,0,0,0,0,0,0,0,0
82,55-64,1,University degree,UK,White,-0.7931605332637086,-1.2350528323333323,-0.018368732080488795,-0.9192845623046153,-0.14277954966710424,0.915018975040276,0.4193122694051331,4,1,1,1,6,2,6,1,0,0,1,0,0,1,1,1,1,0
83,55-64,0,Masters degree,Canada,White,-2.054372328830543,1.4600264768684657,-0.9793841947388138,0.5921650128587294,1.4654674470039688,-0.23554703870612545,-1.2228441989199232,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
84,55-64,1,Left school at 17 years,UK,Mixed-White/Black,1.0227672663057819,-0.9501107917272493,-1.1226884972956506,1.4544395706454112,-1.6443499439466294,0.1937741107892311,-0.22125868776173244,3,0,0,4,6,1,6,0,0,0,0,0,0,0,0,0,6,0
85,45-54,0,Left school at 16 years,UK,White,-0.34885077562865574,0.16912805824268257,-0.31809172435268174,-0.3023657544747939,-0.14277954966710424,-1.4536436559090193,0.08554037637589663,4,0,0,0,6,2,5,0,0,0,0,0,0,0,0,0,0,0
86,25-34,1,Left school at 18 years,UK,White,-0.4683231369552169,0.0042212888448033845,-1.560694970088494,0.13187481843618676,0.41717239060141975,0.5469007087892307,1.2736628734893594,3,0,1,0,6,1,6,0,0,0,0,0,0,0,0,0,6,0
87,35-44,0,"Some college or university, no certificate or degree",UK,White,0.736518460960724,-0.154504612287235,-1.1226884972956506,0.13187481843618676,-0.14277954966710424,-0.23554703870612545,0.4193122694051331,4,0,1,0,6,1,4,0,0,0,0,0,0,0,0,0,6,0
88,55-64,0,Left school at 16 years,UK,White,-0.9229211819525353,0.16912805824268257,-0.4526296716343368,-0.3023657544747939,0.26041471134491845,-0.753225791296744,0.4193122694051331,4,0,0,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0
89,35-44,1,"Some college or university, no certificate or degree",UK,White,0.31318599031358146,-1.9273502136157217,-1.4291795576726232,-0.7628364312634675,-0.528314643691725,-1.4536436559090193,-2.1544290441012417,3,0,1,1,6,2,6,0,0,0,0,0,0,0,0,1,1,0
90,35-44,1,Masters degree,UK,White,0.9123109309052565,-0.5765094134637486,0.2955933114863293,-0.6077920519588935,-0.27637585837429446,0.5469007087892307,-0.22125868776173244,4,1,1,2,6,0,4,0,0,0,0,0,0,1,0,1,0,1
91,35-44,1,Masters degree,UK,White,1.3751736663347747,0.32395078120035065,0.7273036734457946,0.2887641285945435,-0.7829794752183343,-1.4536436559090193,0.08554037637589663,6,0,0,0,6,3,6,0,0,0,0,0,0,0,0,0,5,0
92,35-44,0,Professional certificate/ diploma,Canada,White,0.4171708226605297,-0.4405905148775806,0.7273036734457946,0.2887641285945435,0.7602934127244029,0.915018975040276,0.7969941428269786,2,0,0,3,6,1,0,0,0,0,0,0,0,1,0,1,1,0
93,25-34,0,Left school at 18 years,UK,White,-1.553782533803857,-0.3004573879283393,-0.4526296716343368,0.2887641285945435,-0.006356972463632867,-0.753225791296744,-0.8757259965584026,5,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,1,0
94,65+,1,Left school at 16 years,UK,White,-0.14932612188547958,-0.8079909571211307,-0.9793841947388138,0.7631620279696526,0.41717239060141975,-1.4536436559090193,-1.6044905281465378,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
95,45-54,0,Masters degree,UK,White,-0.6796988558878381,-0.5765094134637486,-0.9793841947388138,0.5921650128587294,-0.14277954966710424,-1.4536436559090193,-2.1544290441012417,4,0,0,3,6,2,4,0,0,0,0,0,0,0,0,0,3,0
96,45-54,0,Masters degree,UK,White,-0.4683231369552169,0.32395078120035065,1.0677957406518224,-1.6250809086557938,1.1368987009682203,0.5469007087892307,-0.22125868776173244,6,1,1,1,6,1,6,1,0,0,0,0,0,1,0,1,1,0
97,35-44,1,University degree,Canada,White,0.1360611520933125,-1.0948795698758713,0.2955933114863293,-0.1551222241063227,0.7602934127244029,-1.4536436559090193,-1.6044905281465378,5,1,0,0,6,2,6,1,0,0,0,0,0,1,0,1,3,0
98,45-54,1,Masters degree,UK,White,-0.4683231369552169,0.640840686349351,-0.31809172435268174,-0.6077920519588935,-1.1401015508494903,0.1937741107892311,-0.8757259965584026,4,1,0,1,6,1,4,1,0,0,0,0,0,0,0,0,2,0
99,35-44,0,Doctorate degree,Canada,White,-1.1966677646801562,-0.4405905148775806,-0.018368732080488795,-0.6077920519588935,0.9418861747248215,-0.23554703870612545,1.2736628734893594,5,1,0,0,6,1,5,1,0,0,0,0,0,1,0,1,2,0
100,25-34,1,University degree,UK,White,-0.6796988558878381,3.016441350121975,0.7273036734457946,0.9442460019876703,1.6348130455205026,0.5469007087892307,0.4193122694051331,6,2,0,3,6,3,4,0,0,1,0,0,0,0,0,0,4,0
101,25-34,0,Masters degree,Other,White,-1.0551963000940674,2.5826969127911856,0.5867306980766432,-1.4833521172524338,-0.40640425366064753,-0.23554703870612545,1.2736628734893594,6,3,3,5,6,6,4,3,0,3,0,3,2,2,0,3,0,0
102,45-54,1,Left school at 16 years,Australia,White,-0.5814341911006304,0.4786731653874694,-1.6866272284001254,-0.1551222241063227,0.9418861747248215,-1.4536436559090193,-0.8757259965584026,5,0,0,0,6,1,4,0,0,0,0,0,0,0,0,0,6,0
103,45-54,0,Left school at 18 years,UK,White,-0.5814341911006304,1.2913469696979305,1.442298856330978,-1.346325894166596,-0.006356972463632867,-0.753225791296744,1.2736628734893594,6,1,3,5,6,1,5,5,1,2,2,1,1,2,0,2,1,0
104,45-54,1,Professional certificate/ diploma,Canada,White,0.04240467833496769,0.640840686349351,-0.31809172435268174,-0.3023657544747939,0.12389191185434495,0.1937741107892311,0.7969941428269786,5,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
105,25-34,1,"Some college or university, no certificate or degree",Canada,White,-0.9229211819525353,0.16912805824268257,-0.17753883227167516,1.1172082695297971,0.586497944660533,-0.753225791296744,0.08554037637589663,4,0,0,0,6,6,6,2,0,2,0,0,0,0,0,2,6,0
106,35-44,0,Professional certificate/ diploma,UK,White,-2.2226314082235437,0.4786731653874694,-1.8358159343833729,-0.7628364312634675,2.0499137142402626,-1.4536436559090193,-1.6044905281465378,3,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
107,25-34,1,"Some college or university, no certificate or degree",UK,White,1.0227672663057819,-0.3004573879283393,-1.8358159343833729,0.2887641285945435,-0.40640425366064753,-1.4536436559090193,-0.8757259965584026,5,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0
108,35-44,1,Left school at 16 years,UK,White,0.1360611520933125,0.0042212888448033845,-1.2798502686723625,-0.7628364312634675,0.586497944660533,0.5469007087892307,-0.22125868776173244,4,3,0,0,6,0,6,3,0,0,0,0,0,0,0,0,6,0
109,25-34,1,University degree,UK,White,-0.4683231369552169,2.135095691247529,0.14301052980661966,0.13187481843618676,0.7602934127244029,1.9426449280417288,1.2736628734893594,4,0,0,3,6,3,6,5,0,0,0,0,0,0,0,0,1,0
110,45-54,1,"Some college or university, no certificate or degree",UK,White,-0.7931605332637086,0.4786731653874694,-1.4291795576726232,-0.9192845623046153,-0.528314643691725,-0.753225791296744,0.08554037637589663,4,1,0,0,6,2,6,0,0,0,0,0,0,0,0,0,3,0
111,45-54,0,Masters degree,UK,Asian,-0.14932612188547958,0.32395078120035065,0.14301052980661966,-0.3023657544747939,-0.14277954966710424,0.1937741107892311,-0.5431683478463336,4,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,0
112,25-34,0,Masters degree,UK,White,0.31318599031358146,-1.0948795698758713,-0.8498570278492728,-0.6077920519588935,-0.653672680399117,0.1937741107892311,0.4193122694051331,6,1,0,0,6,3,0,0,0,0,0,0,0,1,0,1,0,0
